Call Date,Agent ID,Agent Status,Call Type,Service,Answer Time,Avg Talk Time,Disconnect Code,Call Disconnect,Survey Opted,Resolved,Call Fwd,Fwd Sup ID,Feedback
2026-02-08T00:04:18Z,1006,13,4,10,23,1383,57,2026-02-08T00:27:44Z,Yes,No,No,,3
2026-02-08T00:09:49Z,1006,13,4,10,44,1559,1,2026-02-08T00:36:32Z,No,Yes,No,,
2026-02-08T00:15:05Z,1007,3,4,2,52,405,1,2026-02-08T00:22:42Z,No,No,No,,
2026-02-08T00:24:39Z,1005,3,1,1,24,475,57,2026-02-08T00:32:58Z,Yes,No,No,,1
2026-02-08T00:26:54Z,1007,13,1,5,48,1814,5,2026-02-08T00:57:56Z,Yes,No,No,,2
2026-02-08T00:32:37Z,1005,3,4,10,30,503,1,2026-02-08T00:41:30Z,No,No,No,,
2026-02-08T00:39:18Z,1008,9,1,4,36,313,57,2026-02-08T00:45:07Z,No,Yes,No,,
2026-02-08T00:51:02Z,1007,3,1,4,28,435,1,2026-02-08T00:58:45Z,Yes,No,No,,2
2026-02-08T00:51:16Z,1005,4,4,2,59,533,1,2026-02-08T01:01:08Z,No,No,No,,
2026-02-08T00:56:44Z,1005,3,1,1,47,381,5,2026-02-08T01:03:52Z,No,Yes,No,,
2026-02-08T01:04:14Z,1008,9,4,4,44,2199,57,2026-02-08T01:41:37Z,No,No,No,,
2026-02-08T01:11:35Z,1008,9,4,4,51,434,5,2026-02-08T01:19:40Z,No,No,No,,
2026-02-08T01:19:51Z,1006,1,4,2,20,1267,1,2026-02-08T01:41:18Z,No,Yes,No,,
2026-02-08T01:23:08Z,1008,3,4,1,37,526,1,2026-02-08T01:32:31Z,No,No,No,,
2026-02-08T01:26:07Z,1008,1,1,5,27,1015,1,2026-02-08T01:43:29Z,No,No,No,,
2026-02-08T01:27:55Z,1008,0,4,2,23,2027,1,2026-02-08T02:02:05Z,Yes,No,Yes,2001,1
2026-02-08T01:30:55Z,1006,3,1,10,58,268,1,2026-02-08T01:36:21Z,No,No,No,,
2026-02-08T01:31:40Z,1006,3,1,4,49,1562,1,2026-02-08T01:58:31Z,No,No,No,,
2026-02-08T01:36:55Z,1005,3,1,4,47,487,57,2026-02-08T01:45:49Z,Yes,Yes,No,,1
2026-02-08T01:59:09Z,1007,3,1,3,46,2070,57,2026-02-08T02:34:25Z,Yes,Yes,No,,4
2026-02-08T02:03:08Z,1007,3,4,1,58,1425,57,2026-02-08T02:27:51Z,No,Yes,No,,
2026-02-08T02:07:44Z,1008,1,2,10,33,426,1,2026-02-08T02:15:23Z,No,No,No,,
2026-02-08T02:09:02Z,1006,3,4,10,58,249,1,2026-02-08T02:14:09Z,Yes,No,No,,2
2026-02-08T02:11:42Z,1007,3,4,4,44,538,1,2026-02-08T02:21:24Z,No,No,No,,
2026-02-08T02:13:49Z,1007,4,4,2,38,1655,1,2026-02-08T02:42:02Z,Yes,No,No,,3
2026-02-08T02:16:25Z,1008,0,4,2,50,1516,5,2026-02-08T02:42:31Z,Yes,Yes,Yes,2001,5
2026-02-08T02:27:15Z,1006,1,1,10,45,474,57,2026-02-08T02:35:54Z,Yes,Yes,No,,2
2026-02-08T02:44:50Z,1005,3,1,10,43,1994,57,2026-02-08T03:18:47Z,Yes,No,No,,1
2026-02-08T02:47:11Z,1007,3,5,3,48,431,1,2026-02-08T02:55:10Z,Yes,No,No,,2
2026-02-08T02:48:52Z,1008,3,1,2,54,285,1,2026-02-08T02:54:31Z,No,No,No,,
2026-02-08T02:50:46Z,1006,3,4,2,20,1761,1,2026-02-08T03:20:27Z,No,No,No,,
2026-02-08T02:57:39Z,1006,0,4,2,33,823,1,2026-02-08T03:11:55Z,No,Yes,Yes,2004,
