Call Date,Agent ID,Agent Status,Call Type,Service,Answer Time,Avg Talk Time,Disconnect Code,Call Disconnect,Survey Opted,Resolved,Call Fwd,Fwd Sup ID,Feedback
2026-02-01T00:00:38Z,1001,10,5,5,45,974,57,2026-02-01T00:17:37Z,No,Yes,No,,
2026-02-01T00:00:55Z,1002,2,5,5,30,269,5,2026-02-01T00:05:54Z,Yes,Yes,No,,1
2026-02-01T00:08:48Z,1004,9,2,1,39,390,5,2026-02-01T00:15:57Z,No,Yes,No,,
2026-02-01T00:19:12Z,1002,4,2,10,46,2099,1,2026-02-01T00:54:57Z,No,No,No,,
2026-02-01T00:19:31Z,1003,1,1,10,54,412,57,2026-02-01T00:27:17Z,Yes,No,No,,4
2026-02-01T00:32:36Z,1004,2,2,5,22,482,5,2026-02-01T00:41:00Z,Yes,Yes,No,,3
2026-02-01T00:34:07Z,1002,9,4,2,22,391,57,2026-02-01T00:41:00Z,No,No,No,,
2026-02-01T00:35:04Z,1003,9,1,4,24,1533,5,2026-02-01T01:01:01Z,No,Yes,No,,
2026-02-01T00:41:21Z,1001,0,1,5,60,540,57,2026-02-01T00:51:21Z,Yes,No,Yes,2003,5
2026-02-01T00:48:32Z,1004,2,5,10,45,494,1,2026-02-01T00:57:31Z,Yes,No,No,,4
2026-02-01T00:50:35Z,1003,4,4,1,47,573,57,2026-02-01T01:00:55Z,No,No,No,,
2026-02-01T00:51:04Z,1001,4,1,4,44,591,5,2026-02-01T01:01:39Z,No,Yes,No,,
2026-02-01T01:07:52Z,1002,0,4,4,28,414,5,2026-02-01T01:15:14Z,Yes,Yes,Yes,2002,2
2026-02-01T01:26:26Z,1004,0,4,2,37,1409,5,2026-02-01T01:50:32Z,Yes,Yes,Yes,2005,1
2026-02-01T01:27:38Z,1004,1,5,10,45,516,5,2026-02-01T01:36:59Z,Yes,Yes,No,,3
2026-02-01T01:30:30Z,1004,2,1,2,21,1438,5,2026-02-01T01:54:49Z,No,No,No,,
2026-02-01T01:52:16Z,1004,13,5,10,23,1125,57,2026-02-01T02:11:24Z,Yes,Yes,No,,2
2026-02-01T01:55:13Z,1001,2,1,5,22,261,1,2026-02-01T01:59:56Z,No,No,No,,
2026-02-01T01:57:07Z,1001,0,4,3,53,2051,1,2026-02-01T02:32:11Z,Yes,Yes,Yes,2002,3
2026-02-01T02:00:21Z,1002,4,4,4,54,311,57,2026-02-01T02:06:26Z,Yes,Yes,No,,3
2026-02-01T02:01:21Z,1003,4,2,5,43,2194,1,2026-02-01T02:38:38Z,Yes,No,No,,5
2026-02-01T02:22:12Z,1004,13,2,5,60,1327,1,2026-02-01T02:45:19Z,Yes,Yes,No,,3
2026-02-01T02:27:06Z,1003,2,1,10,21,543,57,2026-02-01T02:36:30Z,No,No,No,,
2026-02-01T02:27:13Z,1002,2,2,5,27,458,1,2026-02-01T02:35:18Z,No,No,No,,
2026-02-01T02:30:07Z,1004,13,5,10,48,415,5,2026-02-01T02:37:50Z,No,Yes,No,,
2026-02-01T02:31:20Z,1003,0,1,10,51,485,1,2026-02-01T02:40:16Z,Yes,No,Yes,2001,5
2026-02-01T02:39:41Z,1001,9,4,10,46,2090,1,2026-02-01T03:15:17Z,No,Yes,No,,
2026-02-01T02:49:05Z,1004,2,2,1,36,1442,57,2026-02-01T03:13:43Z,No,Yes,No,,
2026-02-01T02:55:34Z,1004,9,1,3,53,330,1,2026-02-01T03:01:57Z,Yes,Yes,No,,5
2026-02-01T02:57:27Z,1002,10,2,5,47,258,57,2026-02-01T03:02:32Z,Yes,No,No,,1
2026-02-01T02:59:06Z,1001,3,2,3,52,1619,5,2026-02-01T03:26:57Z,No,No,No,,
2026-02-01T03:03:32Z,1001,0,4,5,21,1620,57,2026-02-01T03:30:53Z,No,Yes,Yes,2001,
2026-02-01T03:10:26Z,1002,13,2,10,32,376,1,2026-02-01T03:17:14Z,Yes,Yes,No,,5
2026-02-01T03:11:53Z,1003,0,1,5,54,1359,1,2026-02-01T03:35:26Z,No,No,Yes,2003,
2026-02-01T03:19:48Z,1004,1,5,2,26,425,57,2026-02-01T03:27:19Z,Yes,No,No,,5
2026-02-01T03:21:50Z,1004,3,4,10,49,1834,57,2026-02-01T03:53:13Z,Yes,No,No,,4
2026-02-01T03:36:02Z,1001,4,5,5,54,2115,5,2026-02-01T04:12:11Z,No,No,No,,
2026-02-01T03:37:30Z,1001,13,2,1,42,389,5,2026-02-01T03:44:41Z,No,Yes,No,,
2026-02-01T03:40:37Z,1003,10,2,2,34,1081,1,2026-02-01T03:59:12Z,No,Yes,No,,
2026-02-01T03:45:49Z,1004,1,2,2,33,1027,57,2026-02-01T04:03:29Z,No,No,No,,
2026-02-01T03:49:24Z,1004,13,1,3,36,1479,1,2026-02-01T04:14:39Z,Yes,No,No,,4
2026-02-01T03:51:32Z,1004,10,2,3,37,476,1,2026-02-01T04:00:05Z,Yes,Yes,No,,3
2026-02-01T04:03:08Z,1001,2,4,4,46,1922,57,2026-02-01T04:35:56Z,No,No,No,,
2026-02-01T04:06:20Z,1004,9,2,5,42,356,57,2026-02-01T04:12:58Z,Yes,No,No,,1
2026-02-01T04:13:02Z,1002,4,4,2,38,1614,1,2026-02-01T04:40:34Z,No,Yes,No,,
2026-02-01T04:17:12Z,1002,0,5,5,34,579,5,2026-02-01T04:27:25Z,No,Yes,Yes,2002,
2026-02-01T04:36:46Z,1002,3,1,10,58,1051,1,2026-02-01T04:55:15Z,Yes,Yes,No,,5
2026-02-01T04:36:59Z,1001,13,4,3,37,1816,1,2026-02-01T05:07:52Z,Yes,Yes,No,,1
2026-02-01T04:40:15Z,1004,10,4,3,48,245,1,2026-02-01T04:45:08Z,Yes,Yes,No,,3
2026-02-01T04:48:02Z,1004,2,5,3,54,363,57,2026-02-01T04:54:59Z,Yes,No,No,,3
2026-02-01T04:52:49Z,1003,4,5,4,56,1407,5,2026-02-01T05:17:12Z,No,Yes,No,,
2026-02-01T04:58:21Z,1001,3,2,2,59,434,57,2026-02-01T05:06:34Z,No,Yes,No,,
2026-02-01T05:03:37Z,1002,4,5,3,31,816,1,2026-02-01T05:17:44Z,No,No,No,,
2026-02-01T05:05:36Z,1003,13,2,2,53,821,1,2026-02-01T05:20:10Z,Yes,Yes,No,,1
2026-02-01T05:06:38Z,1002,9,5,1,30,1157,57,2026-02-01T05:26:25Z,No,No,No,,
2026-02-01T05:06:54Z,1003,4,1,3,54,1271,57,2026-02-01T05:28:59Z,Yes,Yes,No,,4
2026-02-01T05:12:35Z,1001,4,1,1,55,1588,57,2026-02-01T05:39:58Z,Yes,Yes,No,,4
2026-02-01T05:13:01Z,1003,4,1,3,42,421,57,2026-02-01T05:20:44Z,No,Yes,No,,
2026-02-01T05:30:30Z,1004,1,2,2,55,1516,57,2026-02-01T05:56:41Z,No,No,No,,
2026-02-01T05:44:04Z,1001,9,4,1,32,2298,57,2026-02-01T06:22:54Z,Yes,No,No,,2
2026-02-01T05:57:21Z,1003,2,5,4,50,1211,1,2026-02-01T06:18:22Z,No,Yes,No,,
2026-02-01T06:10:35Z,1002,10,1,1,46,541,57,2026-02-01T06:20:22Z,Yes,No,No,,5
2026-02-01T06:20:44Z,1001,10,1,4,43,373,57,2026-02-01T06:27:40Z,No,Yes,No,,
2026-02-01T06:22:15Z,1001,3,5,4,53,998,57,2026-02-01T06:39:46Z,Yes,Yes,No,,4
2026-02-01T06:26:36Z,1004,3,1,2,22,2177,57,2026-02-01T07:03:15Z,Yes,No,No,,1
2026-02-01T06:29:02Z,1003,1,1,3,53,1106,57,2026-02-01T06:48:21Z,No,No,No,,
2026-02-01T06:30:58Z,1002,9,5,2,35,1881,1,2026-02-01T07:02:54Z,Yes,Yes,No,,2
2026-02-01T06:31:45Z,1002,9,1,1,25,2323,5,2026-02-01T07:10:53Z,Yes,Yes,No,,4
2026-02-01T06:39:28Z,1002,13,4,2,48,1844,5,2026-02-01T07:11:00Z,No,No,No,,
2026-02-01T06:45:19Z,1002,4,5,3,25,543,1,2026-02-01T06:54:47Z,No,No,No,,
2026-02-01T06:53:32Z,1001,13,2,3,36,2224,1,2026-02-01T07:31:12Z,Yes,Yes,No,,1
2026-02-01T06:57:40Z,1003,13,2,2,34,403,5,2026-02-01T07:04:57Z,Yes,No,No,,5
2026-02-01T07:07:18Z,1007,4,1,4,41,545,57,2026-02-01T07:17:04Z,No,Yes,No,,
2026-02-01T07:13:36Z,1010,1,2,2,57,445,5,2026-02-01T07:21:58Z,Yes,Yes,No,,3
2026-02-01T07:24:44Z,1009,3,5,1,50,2146,1,2026-02-01T08:01:20Z,Yes,Yes,No,,2
2026-02-01T07:27:15Z,1008,4,1,3,32,1856,5,2026-02-01T07:58:43Z,No,No,No,,
2026-02-01T07:29:25Z,1005,10,5,5,24,1186,5,2026-02-01T07:49:35Z,Yes,Yes,No,,2
2026-02-01T07:34:55Z,1007,0,4,1,29,319,1,2026-02-01T07:40:43Z,Yes,No,Yes,2001,4
2026-02-01T07:35:45Z,1009,3,1,5,59,377,57,2026-02-01T07:43:01Z,Yes,No,No,,4
2026-02-01T07:36:29Z,1008,3,4,10,37,1197,57,2026-02-01T07:57:03Z,No,Yes,No,,
2026-02-01T07:37:48Z,1006,3,4,4,56,1609,57,2026-02-01T08:05:33Z,Yes,No,No,,1
2026-02-01T07:41:07Z,1010,10,5,4,39,945,1,2026-02-01T07:57:31Z,Yes,Yes,No,,2
2026-02-01T07:48:21Z,1008,4,1,10,25,379,1,2026-02-01T07:55:05Z,No,No,No,,
2026-02-01T07:48:28Z,1009,9,1,1,47,319,57,2026-02-01T07:54:34Z,Yes,Yes,No,,5
2026-02-01T08:03:05Z,1008,10,4,3,60,1103,57,2026-02-01T08:22:28Z,No,No,No,,
2026-02-01T08:15:55Z,1010,4,4,5,21,2384,5,2026-02-01T08:56:00Z,No,Yes,No,,
2026-02-01T08:25:55Z,1010,13,2,10,58,2150,5,2026-02-01T09:02:43Z,Yes,No,No,,1
2026-02-01T08:27:30Z,1006,3,4,10,33,2231,5,2026-02-01T09:05:14Z,Yes,No,No,,1
2026-02-01T08:31:41Z,1006,1,5,3,49,1386,5,2026-02-01T08:55:36Z,Yes,No,No,,1
2026-02-01T08:31:48Z,1010,13,1,5,43,350,57,2026-02-01T08:38:21Z,Yes,No,No,,3
2026-02-01T08:38:03Z,1010,9,1,1,58,444,1,2026-02-01T08:46:25Z,No,Yes,No,,
2026-02-01T08:50:36Z,1008,1,1,3,33,277,1,2026-02-01T08:55:46Z,No,Yes,No,,
2026-02-01T08:51:07Z,1006,13,4,5,51,546,5,2026-02-01T09:01:04Z,Yes,Yes,No,,3
2026-02-01T08:51:52Z,1010,3,5,2,30,372,1,2026-02-01T08:58:34Z,No,No,No,,
2026-02-01T08:58:15Z,1008,10,4,10,45,473,5,2026-02-01T09:06:53Z,No,Yes,No,,
2026-02-01T09:03:12Z,1006,4,1,4,47,1634,5,2026-02-01T09:31:13Z,No,Yes,No,,
2026-02-01T09:11:17Z,1007,4,4,10,38,535,57,2026-02-01T09:20:50Z,No,Yes,No,,
2026-02-01T09:14:50Z,1010,1,1,3,47,2082,5,2026-02-01T09:50:19Z,No,No,No,,
2026-02-01T09:15:41Z,1010,4,2,5,55,2009,5,2026-02-01T09:50:05Z,Yes,Yes,No,,4
2026-02-01T09:26:30Z,1008,9,4,3,60,980,1,2026-02-01T09:43:50Z,Yes,Yes,No,,2
2026-02-01T09:28:26Z,1008,9,2,5,51,1298,5,2026-02-01T09:50:55Z,Yes,No,No,,2
2026-02-01T09:32:11Z,1007,10,5,10,28,452,57,2026-02-01T09:40:11Z,Yes,No,No,,2
2026-02-01T09:42:10Z,1006,4,1,10,28,1711,1,2026-02-01T10:11:09Z,Yes,Yes,No,,3
2026-02-01T09:42:32Z,1008,0,5,10,55,1218,1,2026-02-01T10:03:45Z,Yes,No,Yes,2004,4
2026-02-01T09:44:38Z,1006,4,4,5,36,347,57,2026-02-01T09:51:01Z,No,Yes,No,,
2026-02-01T09:48:22Z,1007,4,4,5,33,1368,57,2026-02-01T10:11:43Z,Yes,Yes,No,,4
2026-02-01T09:49:24Z,1005,1,4,10,58,489,1,2026-02-01T09:58:31Z,Yes,Yes,No,,3
2026-02-01T09:51:50Z,1006,13,4,5,54,325,1,2026-02-01T09:58:09Z,No,No,No,,
2026-02-01T09:52:39Z,1005,13,5,1,57,540,57,2026-02-01T10:02:36Z,No,Yes,No,,
2026-02-01T09:53:51Z,1009,1,5,5,47,298,5,2026-02-01T09:59:36Z,No,No,No,,
2026-02-01T09:55:24Z,1006,2,1,3,20,1075,1,2026-02-01T10:13:39Z,Yes,No,No,,1
2026-02-01T10:12:15Z,1009,2,5,5,53,308,5,2026-02-01T10:18:16Z,No,No,No,,
2026-02-01T10:24:55Z,1008,2,4,1,45,1438,57,2026-02-01T10:49:38Z,Yes,No,No,,3
2026-02-01T10:25:18Z,1006,9,5,1,51,596,5,2026-02-01T10:36:05Z,No,Yes,No,,
2026-02-01T10:40:13Z,1009,0,2,1,38,462,1,2026-02-01T10:48:33Z,No,Yes,Yes,2001,
2026-02-01T10:49:18Z,1005,4,1,2,34,525,57,2026-02-01T10:58:37Z,No,No,No,,
2026-02-01T10:49:46Z,1007,13,1,3,24,951,57,2026-02-01T11:06:01Z,No,Yes,No,,
2026-02-01T11:05:45Z,1006,3,5,4,56,422,57,2026-02-01T11:13:43Z,No,No,No,,
2026-02-01T11:07:20Z,1008,13,4,3,53,468,1,2026-02-01T11:16:01Z,Yes,No,No,,5
2026-02-01T11:13:20Z,1007,4,5,4,41,2008,5,2026-02-01T11:47:29Z,No,No,No,,
2026-02-01T11:20:16Z,1006,9,1,2,25,366,57,2026-02-01T11:26:47Z,Yes,Yes,No,,4
2026-02-01T11:40:19Z,1010,3,1,1,35,349,1,2026-02-01T11:46:43Z,Yes,Yes,No,,5
2026-02-01T11:40:38Z,1008,2,2,3,56,2031,57,2026-02-01T12:15:25Z,Yes,No,No,,2
2026-02-01T11:41:12Z,1009,13,4,1,25,319,1,2026-02-01T11:46:56Z,No,Yes,No,,
2026-02-01T11:46:47Z,1007,13,2,10,49,277,57,2026-02-01T11:52:13Z,No,No,No,,
2026-02-01T11:48:09Z,1006,2,1,10,49,1717,1,2026-02-01T12:17:35Z,Yes,Yes,No,,2
2026-02-01T11:53:14Z,1006,3,5,2,40,1571,57,2026-02-01T12:20:05Z,No,No,No,,
2026-02-01T11:59:16Z,1006,13,1,3,22,2236,5,2026-02-01T12:36:54Z,No,Yes,No,,
2026-02-01T12:06:40Z,1009,4,4,2,54,2400,5,2026-02-01T12:47:34Z,Yes,No,No,,2
2026-02-01T12:16:49Z,1009,3,4,3,47,448,1,2026-02-01T12:25:04Z,Yes,No,No,,5
2026-02-01T12:21:47Z,1008,10,5,3,29,1981,57,2026-02-01T12:55:17Z,Yes,Yes,No,,5
2026-02-01T12:35:35Z,1007,13,2,3,35,1223,5,2026-02-01T12:56:33Z,No,Yes,No,,
2026-02-01T12:56:26Z,1010,1,2,5,59,287,1,2026-02-01T13:02:12Z,No,Yes,No,,
2026-02-01T12:57:08Z,1010,3,4,1,36,2002,1,2026-02-01T13:31:06Z,Yes,No,No,,1
2026-02-01T13:04:00Z,1009,13,4,10,52,590,57,2026-02-01T13:14:42Z,Yes,Yes,No,,2
2026-02-01T13:07:54Z,1008,10,4,5,35,879,57,2026-02-01T13:23:08Z,No,No,No,,
2026-02-01T13:09:59Z,1010,9,2,10,35,1948,1,2026-02-01T13:43:02Z,Yes,No,No,,3
2026-02-01T13:17:46Z,1006,3,2,1,20,586,1,2026-02-01T13:27:52Z,No,No,No,,
2026-02-01T13:19:11Z,1010,4,5,5,54,351,57,2026-02-01T13:25:56Z,No,Yes,No,,
2026-02-01T13:21:30Z,1005,1,5,3,21,1157,1,2026-02-01T13:41:08Z,Yes,No,No,,3
2026-02-01T13:24:46Z,1007,2,1,10,33,379,1,2026-02-01T13:31:38Z,Yes,Yes,No,,3
2026-02-01T13:24:58Z,1009,4,5,10,37,1226,1,2026-02-01T13:46:01Z,Yes,No,No,,1
2026-02-01T13:26:42Z,1007,13,2,5,34,276,57,2026-02-01T13:31:52Z,Yes,Yes,No,,1
2026-02-01T13:33:00Z,1005,4,1,3,52,1420,1,2026-02-01T13:57:32Z,Yes,Yes,No,,4
2026-02-01T13:35:40Z,1005,13,2,10,58,1743,5,2026-02-01T14:05:41Z,No,Yes,No,,
2026-02-01T13:51:47Z,1007,0,5,3,23,507,57,2026-02-01T14:00:37Z,No,No,Yes,2005,
2026-02-01T13:55:14Z,1009,13,1,1,29,561,1,2026-02-01T14:05:04Z,No,No,No,,
2026-02-01T14:07:14Z,1009,9,5,5,40,811,5,2026-02-01T14:21:25Z,No,No,No,,
2026-02-01T14:11:56Z,1007,0,1,3,56,321,5,2026-02-01T14:18:13Z,Yes,Yes,Yes,2004,1
2026-02-01T14:14:54Z,1005,1,1,1,28,416,5,2026-02-01T14:22:18Z,Yes,Yes,No,,2
2026-02-01T14:15:05Z,1009,10,4,4,32,514,1,2026-02-01T14:24:11Z,No,Yes,No,,
2026-02-01T14:15:26Z,1006,2,1,10,55,931,1,2026-02-01T14:31:52Z,No,Yes,No,,
2026-02-01T14:17:07Z,1007,3,2,5,43,258,57,2026-02-01T14:22:08Z,Yes,No,No,,5
2026-02-01T14:34:32Z,1005,3,2,1,49,250,5,2026-02-01T14:39:31Z,No,No,No,,
2026-02-01T14:38:55Z,1009,13,4,2,51,1933,1,2026-02-01T15:11:59Z,No,Yes,No,,
2026-02-01T14:40:09Z,1010,0,4,3,41,262,1,2026-02-01T14:45:12Z,No,Yes,Yes,2004,
2026-02-01T14:45:24Z,1005,3,4,4,36,1403,57,2026-02-01T15:09:23Z,No,Yes,No,,
2026-02-01T14:49:28Z,1008,13,2,1,35,1409,57,2026-02-01T15:13:32Z,No,Yes,No,,
2026-02-01T14:50:40Z,1006,10,2,3,23,1960,57,2026-02-01T15:23:43Z,Yes,Yes,No,,5
2026-02-01T14:51:54Z,1005,0,1,4,30,380,5,2026-02-01T14:58:44Z,Yes,No,Yes,2001,3
2026-02-01T14:55:52Z,1005,13,4,1,27,1460,5,2026-02-01T15:20:39Z,No,No,No,,
2026-02-01T14:59:19Z,1008,10,4,10,23,865,57,2026-02-01T15:14:07Z,Yes,Yes,No,,3
2026-02-01T15:05:15Z,1014,0,4,5,47,2341,1,2026-02-01T15:45:03Z,Yes,Yes,Yes,2003,2
2026-02-01T15:07:50Z,1013,3,1,1,32,987,1,2026-02-01T15:24:49Z,Yes,Yes,No,,4
2026-02-01T15:09:24Z,1014,9,2,3,46,1239,57,2026-02-01T15:30:49Z,No,No,No,,
2026-02-01T15:30:06Z,1012,1,1,1,58,267,57,2026-02-01T15:35:31Z,No,No,No,,
2026-02-01T15:37:24Z,1013,3,1,2,26,374,1,2026-02-01T15:44:04Z,No,No,No,,
2026-02-01T15:59:24Z,1013,4,2,2,58,1857,1,2026-02-01T16:31:19Z,Yes,Yes,No,,4
2026-02-01T16:09:35Z,1012,0,5,1,43,410,1,2026-02-01T16:17:08Z,Yes,No,Yes,2005,2
2026-02-01T16:12:26Z,1014,13,1,5,49,1412,5,2026-02-01T16:36:47Z,Yes,No,No,,4
2026-02-01T16:18:55Z,1013,2,1,5,21,959,5,2026-02-01T16:35:15Z,No,Yes,No,,
2026-02-01T16:25:50Z,1012,4,1,2,27,573,1,2026-02-01T16:35:50Z,No,Yes,No,,
2026-02-01T16:27:54Z,1011,1,2,5,25,523,5,2026-02-01T16:37:02Z,Yes,Yes,No,,3
2026-02-01T16:34:04Z,1012,1,2,4,39,2104,57,2026-02-01T17:09:47Z,No,No,No,,
2026-02-01T16:40:21Z,1014,0,2,4,43,322,1,2026-02-01T16:46:26Z,No,Yes,Yes,2005,
2026-02-01T16:40:28Z,1012,2,1,1,32,1624,57,2026-02-01T17:08:04Z,Yes,Yes,No,,3
2026-02-01T16:45:41Z,1011,2,5,10,43,2303,57,2026-02-01T17:24:47Z,Yes,No,No,,3
2026-02-01T16:49:44Z,1013,0,1,3,20,583,57,2026-02-01T16:59:47Z,Yes,Yes,Yes,2005,1
2026-02-01T16:54:32Z,1013,1,2,5,41,1002,1,2026-02-01T17:11:55Z,No,No,No,,
2026-02-01T17:01:50Z,1014,2,4,3,50,888,5,2026-02-01T17:17:28Z,Yes,No,No,,4
2026-02-01T17:09:37Z,1012,9,5,4,24,1323,5,2026-02-01T17:32:04Z,Yes,Yes,No,,2
2026-02-01T17:19:44Z,1014,9,2,2,32,330,57,2026-02-01T17:25:46Z,Yes,No,No,,4
2026-02-01T17:23:37Z,1014,2,1,2,48,378,1,2026-02-01T17:30:43Z,Yes,Yes,No,,3
2026-02-01T17:29:07Z,1012,10,1,10,45,337,1,2026-02-01T17:35:29Z,Yes,No,No,,3
